Category,Field Name,Value
"Project Information","Project Name",""
"Project Information","Project Id",""
"Project Information","Project Manager",""
"Project Information","Pm Email",""
"Project Information","Requested Date",""
"Project Information","Estimated Duration",""

"Customer Information","Company Name",""
"Customer Information","Contact Name1",""
"Customer Information","Contact Email1",""
"Customer Information","Contact Phone1",""
"Customer Information","Contact Role1",""
"Customer Information","Contact Name2",""
"Customer Information","Contact Email2",""
"Customer Information","Contact Phone2",""
"Customer Information","Contact Role2",""
"Customer Information","Contact Name3",""
"Customer Information","Contact Email3",""
"Customer Information","Contact Phone3",""
"Customer Information","Contact Role3",""
"Customer Information","Contact Name4",""
"Customer Information","Contact Email4",""
"Customer Information","Contact Phone4",""
"Customer Information","Contact Role4",""

"Advania Contacts","Advaniapersonnel Name1",""
"Advania Contacts","Advaniapersonnel Email1",""
"Advania Contacts","Advaniapersonnel Phone1",""
"Advania Contacts","Advaniapersonnel Role1",""
"Advania Contacts","Advaniapersonnel Name2",""
"Advania Contacts","Advaniapersonnel Email2",""
"Advania Contacts","Advaniapersonnel Phone2",""
"Advania Contacts","Advaniapersonnel Role2",""
"Advania Contacts","Advaniapersonnel Name3",""
"Advania Contacts","Advaniapersonnel Email3",""
"Advania Contacts","Advaniapersonnel Phone3",""
"Advania Contacts","Advaniapersonnel Role3",""
"Advania Contacts","Advaniapersonnel Name4",""
"Advania Contacts","Advaniapersonnel Email4",""
"Advania Contacts","Advaniapersonnel Phone4",""
"Advania Contacts","Advaniapersonnel Role4",""

"Site Information","Site Name",""
"Site Information","Site City",""
"Site Information","Site Address",""
"Site Information","Site Country",""
"Site Information","Datacenter Location",""
"Site Information","Rack Space",""
"Site Information","Power Availability",""
"Site Information","Cooling Type",""

"Hardware Configuration","Hardware Type",""
"Hardware Configuration","Node Count","4"
"Hardware Configuration","Server Model",""
"Hardware Configuration","Cpu Model",""
"Hardware Configuration","Cpu Cores",""
"Hardware Configuration","Ram Per Node",""
"Hardware Configuration","Storage Type",""
"Hardware Configuration","Storage Capacity",""
"Hardware Configuration","Network Speed",""
"Hardware Configuration","Redundant Power",""
"Hardware Configuration","Raid Config",""

"Network Configuration","Management Network",""
"Network Configuration","Management Subnet",""
"Network Configuration","Management V L A N",""
"Network Configuration","Storage Network",""
"Network Configuration","Storage Subnet",""
"Network Configuration","Storage V L A N",""
"Network Configuration","Vm Network",""
"Network Configuration","Vm Subnet",""
"Network Configuration","Vm V L A N",""
"Network Configuration","Public I Ps",""
"Network Configuration","Dns Servers",""
"Network Configuration","Ntp Servers",""
"Network Configuration","Proxy Required",""
"Network Configuration","Proxy Address",""
"Network Configuration","Firewall Rules",""
"Network Configuration","Vlan Trunking",""

"Azure Integration","Azure Subscription",""
"Azure Integration","Azure Region",""
"Azure Integration","Resource Group",""
"Azure Integration","Arc Integration",""
"Azure Integration","Azure Backup",""
"Azure Integration","Azure Monitor",""
"Azure Integration","Azure Site Recovery",""
"Azure Integration","Azure Update Management",""
"Azure Integration","Hybrid Benefit",""

"Storage Configuration","Storage Spaces Config",""
"Storage Configuration","Volume Config",""
"Storage Configuration","Tiering Enabled",""
"Storage Configuration","Dedup Compression",""
"Storage Configuration","Replication Enabled",""
"Storage Configuration","Replication Partner",""
"Storage Configuration","Snapshot Policy",""
"Storage Configuration","Retention Policy",""

"Virtualization Requirements","Vm Count",""
"Virtualization Requirements","Vm O S",""
"Virtualization Requirements","Vm Workloads",""
"Virtualization Requirements","Ha Requirements",""
"Virtualization Requirements","Dr Requirements",""
"Virtualization Requirements","Live Minion",""
"Virtualization Requirements","Cluster Shared Volumes",""

"Backup & DR","Backup Solution",""
"Backup & DR","Backup Target",""
"Backup & DR","Backup Frequency",""
"Backup & DR","Retention Period",""
"Backup & DR","Dr Solution",""
"Backup & DR","Rto Requirement",""
"Backup & DR","Rpo Requirement",""
"Backup & DR","Dr Test Frequency",""

"Security & Compliance","Security Baseline",""
"Security & Compliance","Encryption Required",""
"Security & Compliance","Encryption Type",""
"Security & Compliance","Mfa Required",""
"Security & Compliance","Access Control",""
"Security & Compliance","Audit Logging",""
"Security & Compliance","Security Monitoring",""
"Security & Compliance","Vulnerability Scanning",""
"Security & Compliance","Patch Management",""

"Additional Information","Licensing",""
"Additional Information","Compliance Reqs",""
"Additional Information","Known Issues",""
"Additional Information","Special Requests",""
"Additional Information","Success Criteria",""

"Approval & Sign-off","Prepared By",""
"Approval & Sign-off","Prepared Date",""
"Approval & Sign-off","Reviewed By",""
"Approval & Sign-off","Reviewed Date",""
"Approval & Sign-off","Approved By",""
"Approval & Sign-off","Approved Date",""
"Approval & Sign-off","Approval Notes",""

